流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
03004,FL1008,10283320,04,英文(附一小時英聽)二,3.00,陳逸軒,,2,三ABC,DD2,30,0,0,34,34,0,0
03012,FL1008,10283320,05,英文(附一小時英聽)二,3.00,廖彥棻,,2,一345,,30,0,0,38,38,0,0
03013,FL1008,10283320,06,英文(附一小時英聽)二,3.00,黃馨瑩,,2,一345,,30,0,0,30,30,0,0
03014,FL1008,10283320,07,英文(附一小時英聽)二,3.00,黃恆綜,,2,一345,,32,0,0,32,32,0,0
03025,FL1008,10283320,08,英文(附一小時英聽)二,3.00,許以心,,2,一,10AB,,32,0,0,32,32,0,0
03026,FL1008,10283320,09,英文(附一小時英聽)二,3.00,林祐瑜,,2,一,10AB,,32,0,0,30,30,0,2
03027,FL1008,10283320,10,英文(附一小時英聽)二,3.00,黃允蔚,,2,一,10AB,,32,0,0,40,40,0,0
03028,FL1008,10283320,11,英文(附一小時英聽)二,3.00,劉威辰,,2,一,10AB,,32,0,0,38,38,0,0
03029,FL1008,10283320,12,英文(附一小時英聽)二,3.00,李立聖,,2,一,10AB,,30,0,0,20,20,0,10
03006,FL1008,10283320,13,英文(附一小時英聽)二,3.00,周昱翔,,2,二234,,32,0,0,24,24,0,8
03007,FL1008,10283320,14,英文(附一小時英聽)二,3.00,翁家傑,,2,二345,,32,0,0,29,29,0,3
03008,FL1008,10283320,15,英文(附一小時英聽)二,3.00,廖彥棻,,2,二234,,30,0,0,29,29,0,1
03009,FL1008,10283320,16,英文(附一小時英聽)二,3.00,高瑟濡,,2,二234,,32,0,0,29,29,0,3
03018,FL1008,10283320,17,英文(附一小時英聽)二,3.00,許文僊,,2,二567,,32,0,0,36,36,0,0
03019,FL1008,10283320,18,英文(附一小時英聽)二,3.00,周昱翔,,2,二567,,30,0,0,26,26,0,4
03020,FL1008,10283320,19,英文(附一小時英聽)二,3.00,蔡自青,,2,二567,,30,0,0,25,25,0,5
03043,FL1008,10283320,20,英文(附一小時英聽)二,3.00,陶漢威,,2,二567,,32,0,0,34,18,0,0
03021,FL1008,10283320,21,英文(附一小時英聽)二,3.00,廖勇超,,2,二567,,32,0,0,35,35,0,0
03047,FL1008,10283320,22,英文(附一小時英聽)二,3.00,陶漢威,,2,二89,10,,30,0,0,34,34,0,0
03048,FL1008,10283320,23,英文(附一小時英聽)二,3.00,俞燕妮,,2,二89,10,,30,0,0,14,14,0,16
03049,FL1008,10283320,24,英文(附一小時英聽)二,3.00,簡瑞碧,,2,二89,10,,40,0,0,45,45,0,0
03055,FL1008,10283320,25,英文(附一小時英聽)二,3.00,王珊珊,,2,三234,,40,0,0,31,31,0,9
