流水號,課號,課程識別碼,班次,課程名稱,學分,授課教師,通識領域,加選方式,上課時間,限制條件,人數上限,外系上限,外校上限,已選上人數,已選上外系人數,登記人數,剩餘名額
01066,CHIN1084,10181012,01,大學國文：先秦兩漢文選下,3.00,丁亮,,2,一789,CD1*B20,35,0,0,32,0,0,3
01067,CHIN1084,10181012,02,大學國文：先秦兩漢文選下,3.00,張素卿,,2,一789,CD1*B21,35,0,0,36,0,0,0
01068,CHIN1086,10181022,,大學國文：文言文導讀下,3.00,張宇衛,,2,一789,CD1*DD9,25,0,0,7,0,0,18
52701,CHIN2238,10124920,,中國文學史概說二,3.00,蔡祝青,,2,四789,,20,6,2,0,0,11,18
47567,FL0005,102001A0,01,服務學習甲,0.00,石書豪,,2,,,12,0,0,0,0,0,12
42174,FL0005,102001A0,02,服務學習甲,0.00,張心瑜,,2,,,12,0,0,0,0,0,12
15648,FL0005,102001A0,03,服務學習甲,0.00,曾麗玲,,2,,,12,0,0,0,0,0,12
13355,FL0005,102001A0,04,服務學習甲,0.00,于昌民,,2,,,12,0,0,0,0,0,12
70576,FL0005,102001A0,05,服務學習甲,0.00,張雯媛,,2,,,12,0,0,0,0,0,12
31974,FL0006,102001B0,01,服務學習乙,0.00,王莉思,,2,,,12,0,0,0,0,0,12
70392,FL0006,102001B0,02,服務學習乙,0.00,許以心,,2,,,12,0,0,0,0,0,12
26158,FL0006,102001B0,03,服務學習乙,0.00,熊宗慧,,2,,,30,0,0,0,0,0,30
14393,FL0006,102001B0,04,服務學習乙,0.00,王寶祥,,2,,CD1,10,0,0,0,0,0,10
64089,FL3001,10200330,01,服務學習三,0.00,陳重仁,,2,,,10,0,0,0,0,0,10
42162,FL3001,10200330,02,服務學習三,0.00,熊宗慧,,2,,CD1,30,0,0,0,0,0,30
50199,FL1068,10212070,,老化社會與記憶書寫,3.00,陳重仁,18*,2,三234,,80,60,0,0,0,347,80
15002,FL1016,10214120,01,西洋文學概論二,3.00,孟克禮,,2,四234,CD1,45,0,10,0,0,30,35
